"pres","min.temp","drought","gdd"
1,1.938833333,1.133073505,3619.799445
1,1.671666667,1.165336486,3521.342962
1,0.812666667,1.016792504,3218.977248
0,0.965666667,1.014976326,3186.276515
1,2.158333333,1.377165421,3823.179745
1,0.183166667,0.876373747,2734.233051
0,-0.165833333,0.876156265,2850.19848
1,-0.706333333,0.817607086,2706.710125
1,-2.4455,0.373743865,1786.13573
1,-2.677666667,0.266125614,1723.872545
1,-2.018166667,0.342373817,2091.621053
1,1.154166667,1.167855776,3633.036222
1,-1.851333333,0.634004318,2111.838946
1,-1.2825,0.725221711,2374.732924
1,-0.880166667,0.980564848,2581.684766
1,-0.853333333,0.868605119,2608.544541
1,-1.161833333,0.68993425,2491.152387
1,-1.481666667,0.580668713,2263.255729
1,-0.67,0.732604178,2762.312974
1,-0.894,0.885334096,2489.665111
1,-0.755833333,0.720436179,2646.692416
1,-1.9265,0.464416931,1913.736241
1,0.6675,1.022288843,3341.210894
1,-1.676166667,0.350914138,2180.190745
1,-1.998666667,0.342149431,2073.470338
1,-2.719833333,0.28676659,1849.033648
1,-4.141333333,0.194560972,1211.45188
1,-2.985666667,0.312414518,1705.594756
1,-2.757833333,0.607801759,1993.031453
1,-3.688333333,0.475723641,1471.771686
1,-3.465,0.51595309,1575.470122
1,-3.991666667,0.663500888,1317.690773
1,-3.616833333,0.497598759,1420.99812
1,0.678,1.149661475,3372.187868
1,-2.987833333,0.68231584,1505.787466
1,-1.9675,1.096821505,2149.422745
1,-3.282333333,0.799238162,1523.965387
1,-3.013833333,1.184456631,1846.153346
1,-2.803166667,1.058786436,1903.311892
1,-2.8655,1.125722827,1963.550302
1,-3.182,0.996171307,1781.432277
1,-3.791,0.814351762,1487.633081
1,-3.249833333,0.538385256,1754.374144
1,-3.269166667,0.537026623,1773.560234
1,0.3885,1.01897632,3170.033877
1,-2.719166667,0.686711965,2051.248466
1,-2.628666667,0.372618121,1949.214164
1,-2.3975,0.431999183,2067.121533
1,-2.897333333,0.249252644,1598.867595
1,-2.062666667,0.219096213,1849.046907
0,-1.345166667,0.404321455,1956.695369
1,0.524,1.167706816,3302.094091
