site.id,east,north,SR,meant,precip,gdd
2224,62,26,73,9.339816792,589.1891667,3069.426894
2225,62,27,69,9.379271161,598.9303333,3086.660667
2226,62,28,89,9.33980527,598.6205,3070.925694
2227,62,29,79,9.369392311,600.9543333,3086.121932
2228,62,30,67,9.562424937,615.989,3171.308859
2229,62,31,85,9.557585558,621.3876667,3170.42481
2230,62,32,87,9.442179101,634.5743333,3120.116044
2231,62,33,74,9.347785763,653.0806667,3077.547527
2232,63,14,74,9.70405681,785.7996667,3243.101522
2233,63,15,96,10.01424618,662.1048333,3376.214198
2234,63,16,88,10.15192676,599.1581667,3426.460945
2235,63,24,94,9.691536277,575.6541667,3229.496505
2236,63,25,93,9.567169176,586.9698333,3167.711961
2237,63,26,71,9.410297627,593.8255,3096.34911
2238,63,27,69,9.362770705,582.1446667,3076.731948
2239,63,28,82,9.346687086,586.9178333,3069.711217
2240,63,29,86,9.411063199,603.1646667,3099.295159
2241,63,30,100,9.526059206,601.3846667,3151.065376
2242,63,31,96,9.540192562,612.647,3162.810287
2243,63,32,97,9.494207392,618.8,3145.928518
2244,64,26,109,9.650522473,593.3865,3211.395943
2245,64,27,106,9.474002396,603.7918333,3128.032567
2246,64,28,74,9.351332307,607.6431667,3067.135215
2247,64,29,88,9.44201734,604.6546667,3104.100538
2248,64,30,99,9.507284851,600.9766667,3139.188935
2249,64,31,93,9.515513689,606.853,3146.205478
2250,7,82,65,8.723874059,1438.482167,2885.709201
2251,8,84,43,8.589151837,1345.125667,2776.104112
2252,8,85,35,8.500287474,1265.654333,2713.6073
2253,8,86,41,8.361442391,1219.0555,2623.226438
2254,8,87,54,8.419544034,1274.633833,2681.30479
2255,9,87,44,8.598059092,1186.012667,2817.109905
